	emotions
297	[6, 6, 2, 2, 2, 6, 1, 3, 3, 2, 6, 6, 2, 3, 2, 2, 6, 4, 6, 2, 6, 2, 1, 5, 2, 4, 6, 6, 2, 3, 6, 1, 4, 6, 2, 1, 6, 6, 6, 3, 6, 2, 6, 3, 6, 3, 6, 6, 4, 6, 6, 6, 3, 3, 2, 2, 6, 6, 3, 2, 6, 3, 2, 2, 4, 2, 2, 3, 2, 3, 1, 1, 2, 2, 6, 3, 6, 2, 2, 2, 4, 3, 6, 2, 5, 6, 6, 1, 2, 6, 1, 1, 1, 1, 1, 1, 1, 1, 6, 6]
298	[1, 2, 6, 1, 1, 4, 6, 6, 1, 1, 1, 1, 3, 2, 1, 1, 2, 2, 6, 1, 1, 1, 6, 1, 1, 1, 2, 6, 6, 2, 1, 2, 6, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 2, 3, 2, 2, 2, 1, 6, 1, 2, 1, 2, 2, 6, 2, 1, 1, 1, 1, 1, 3, 2, 6, 1, 2, 3, 2, 1, 2, 1, 2, 6, 3, 1, 1, 2, 1, 1, 6, 2, 1, 3, 3, 1, 1, 1, 3, 1, 6, 1, 1, 1, 1, 4, 2]
299	[2, 6, 2, 6, 6, 6, 3, 2, 6, 2, 3, 6, 6, 1, 4, 2, 3, 6, 6, 6, 1, 6, 3, 1, 5, 1, 6, 2, 1, 6, 1, 6, 4, 1, 1, 6, 6, 6, 2, 1, 1, 6, 5, 5, 6, 6, 6, 1, 1, 3, 1, 3, 5, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 5, 1, 4, 1, 3, 1, 3, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 6, 2, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2, 1, 2, 6, 2]
300	[6, 1, 1, 6, 6, 4, 3, 2, 6, 2, 2, 2, 2, 6, 2, 5, 2, 2, 2, 6, 1, 2, 2, 2, 3, 2, 1, 1, 1, 4, 2, 1, 1, 2, 5, 3, 6, 2, 2, 4, 1, 2, 2, 2, 1, 1, 2, 1, 6, 6, 6, 4, 4, 1, 5, 2, 4, 6, 2, 3, 2, 6, 4, 2, 1, 4, 2, 2, 2, 2, 1, 6, 2, 2, 2, 2, 2, 2, 1, 2, 3, 3, 2, 2, 2, 1, 6, 2, 2, 3, 6, 6, 2, 6, 6, 1, 4, 2, 2, 2]
301	[1, 6, 1, 1, 1, 6, 2, 3, 1, 2, 6, 6, 3, 6, 2, 2, 2, 1, 6, 2, 2, 6, 1, 2, 1, 1, 2, 1, 6, 6, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 3, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 6, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 6, 4, 6]
302	[1, 1, 6, 6, 2, 1, 1, 2, 2, 2, 6, 2, 1, 4, 3, 3, 6, 2, 2, 6, 1, 2, 2, 2, 2, 1, 2, 1, 1, 1, 2, 1, 3, 2, 3, 1, 1, 2, 2, 1, 2, 6, 2, 1, 2, 1, 1, 1, 2, 1, 2, 3, 1, 2, 3, 6, 1, 6, 2, 1, 3, 6, 5, 2, 6, 2, 1, 6, 2, 6, 6, 6, 2, 1, 1, 1, 2, 2, 1, 6, 3, 2, 1, 1, 1, 1, 1, 2, 2, 2, 6, 2, 2, 6, 1, 1, 4, 1, 4, 2]
303	[1, 2, 1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 1, 1, 1, 1, 6, 3, 2, 1, 2, 6, 1, 2, 2, 1, 2, 2, 6, 3, 2, 3, 2, 2, 2, 6, 6, 1, 1, 1, 1, 2, 1, 4, 6, 2, 2, 2, 1, 2, 1, 6, 6, 1, 1, 2, 1, 2, 1, 3, 2, 3, 1, 6, 6, 2, 2, 4, 2, 2, 3, 2, 1, 3, 1, 2, 5, 2, 1, 3, 1, 1, 4, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 3, 2, 1, 3, 1, 3, 6]
304	[1, 1, 6, 2, 6, 6, 6, 6, 6, 2, 6, 6, 6, 2, 2, 2, 6, 3, 2, 2, 3, 2, 2, 2, 4, 1, 2, 2, 1, 1, 6, 2, 3, 2, 3, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 6, 1, 1, 4, 1, 2, 2, 1, 2, 6, 1, 3, 6, 2, 1, 3, 2, 1, 1, 1, 2, 2, 2, 2, 3, 2, 1, 1, 2, 2, 2, 3, 1, 2, 2, 1, 1, 2, 1, 2, 2, 3, 2, 3, 1, 2, 2, 2, 3, 2, 2, 1]
305	[2, 1, 3, 2, 2, 6, 2, 2, 6, 6, 5, 2, 2, 2, 2, 2, 6, 2, 6, 3, 6, 3, 6, 6, 3, 2, 6, 6, 6, 3, 2, 2, 2, 2, 3, 2, 6, 6, 6, 2, 3, 6, 2, 6, 3, 2, 2, 2, 2, 6, 6, 6, 3, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 2, 6, 2, 6, 6, 6, 6, 2, 6, 6, 2, 6, 2, 6, 2, 1, 3, 2, 5, 3, 6, 6, 6, 6, 6, 6, 6, 2, 2, 1, 1, 2, 1, 1, 6, 6]
306	[2, 1, 2, 2, 2, 1, 6, 6, 3, 2, 1, 1, 2, 3, 2, 4, 6, 1, 1, 2, 2, 2, 2, 1, 2, 6, 2, 2, 5, 2, 6, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 3, 6, 2, 1, 2, 1, 6, 3, 2, 2, 2, 2, 1, 1, 6, 6, 6, 2, 1, 1, 4, 1, 2, 2, 2, 2, 2, 3, 2, 6, 2, 3, 2, 2, 3, 1, 1, 2, 6, 6, 2, 2, 2, 2, 2, 1, 1, 6, 1, 2, 2, 2, 2, 1, 2, 2, 1, 6, 2]
307	[3, 1, 6, 1, 5, 1, 1, 6, 2, 1, 6, 1, 3, 1, 3, 2, 6, 3, 1, 1, 1, 6, 2, 6, 6, 2, 4, 2, 3, 6, 1, 3, 2, 3, 6, 2, 6, 2, 2, 2, 2, 1, 2, 1, 2, 1, 6, 5, 6, 2, 2, 2, 6, 2, 4, 2, 6, 1, 6, 2, 2, 6, 1, 2, 1, 2, 6, 4, 6, 3, 2, 6, 3, 2, 5, 2, 1, 1, 4, 2, 2, 2, 4, 4, 2, 5, 1, 2, 2, 6, 2, 2, 6, 2, 2, 2, 4, 1, 1, 6]
308	[3, 2, 6, 2, 6, 2, 1, 2, 2, 2, 6, 6, 6, 6, 2, 2, 2, 2, 3, 3, 2, 1, 2, 2, 1, 6, 3, 6, 1, 6, 2, 1, 6, 2, 6, 2, 2, 1, 2, 6, 1, 2, 3, 2, 3, 6, 6, 4, 6, 1, 2, 2, 2, 2, 1, 3, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 1, 1, 6, 2, 3, 2, 5, 1, 3, 1, 2, 2, 1, 2, 1, 1, 1, 1, 3, 3, 1, 3, 1, 2, 2]
309	[6, 6, 6, 6, 1, 6, 6, 3, 2, 1, 6, 6, 2, 1, 5, 1, 2, 1, 3, 6, 3, 2, 4, 3, 4, 2, 1, 1, 1, 3, 1, 2, 3, 6, 4, 2, 6, 4, 6, 6, 4, 6, 6, 2, 2, 5, 1, 6, 6, 1, 1, 1, 1, 6, 1, 5, 4, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 6, 1, 6, 1, 2, 6, 6, 3, 3, 6, 2, 2, 6, 6, 6, 1, 3, 3, 6, 6, 6, 4, 6, 6, 6, 1, 1, 6, 6]
310	[6, 1, 2, 1, 2, 6, 3, 2, 6, 2, 4, 3, 6, 6, 1, 6, 6, 6, 6, 2, 3, 6, 2, 1, 2, 2, 2, 6, 5, 6, 2, 3, 1, 5, 1, 6, 2, 3, 2, 1, 3, 1, 6, 6, 6, 2, 2, 1, 6, 2, 6, 2, 3, 2, 1, 3, 3, 6, 5, 6, 6, 2, 6, 2, 1, 2, 2, 6, 1, 3, 1, 1, 6, 1, 1, 2, 3, 2, 2, 6, 1, 1, 2, 6, 2, 3, 1, 2, 1, 1, 2, 6, 6, 6, 6, 2, 2, 1, 2, 6]
311	[6, 1, 6, 6, 6, 6, 6, 1, 2, 1, 6, 2, 3, 2, 2, 2, 2, 2, 5, 2, 1, 3, 2, 2, 6, 2, 1, 1, 1, 1, 1, 1, 1, 6, 6, 1, 1, 4, 1, 1, 1, 6, 1, 2, 1, 1, 1, 6, 1, 2, 1, 6, 1, 2, 4, 4, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 6, 6, 3, 2, 2, 1, 1, 1, 1, 2, 1, 2, 2, 3, 5, 6, 1, 3, 2, 6, 6, 2, 6, 1, 4, 2, 1, 1, 1, 2, 1, 2, 4, 5]
312	[2, 6, 2, 1, 2, 6, 2, 3, 2, 2, 6, 2, 2, 2, 2, 2, 6, 4, 2, 2, 4, 1, 2, 2, 2, 2, 6, 2, 1, 3, 2, 2, 2, 2, 3, 2, 2, 1, 6, 2, 3, 2, 1, 4, 1, 2, 2, 1, 1, 6, 1, 1, 3, 1, 2, 2, 2, 2, 1, 6, 6, 1, 6, 2, 2, 1, 1, 1, 2, 2, 3, 5, 2, 2, 6, 2, 1, 2, 1, 1, 3, 6, 1, 4, 2, 2, 1, 2, 1, 6, 1, 1, 2, 5, 2, 2, 6, 2, 3, 2]
313	[1, 6, 2, 2, 1, 2, 6, 2, 5, 6, 6, 2, 2, 6, 6, 3, 6, 2, 6, 2, 2, 2, 3, 3, 6, 2, 6, 6, 6, 1, 2, 1, 6, 3, 6, 3, 2, 2, 2, 6, 2, 6, 6, 5, 6, 4, 2, 6, 6, 4, 3, 2, 6, 5, 6, 2, 6, 2, 1, 2, 3, 2, 2, 2, 2, 2, 6, 1, 2, 1, 6, 2, 6, 6, 2, 6, 3, 6, 3, 2, 6, 6, 1, 1, 2, 2, 6, 3, 1, 6, 6, 2, 6, 6, 6, 6, 6, 6, 1, 1]
314	[6, 6, 6, 6, 6, 1, 2, 6, 6, 6, 6, 6, 1, 6, 5, 5, 3, 2, 6, 6, 6, 6, 3, 6, 1, 6, 6, 1, 6, 2, 3, 6, 2, 3, 6, 2, 4, 6, 6, 6, 6, 6, 6, 6, 1, 6, 6, 6, 6, 2, 6, 6, 6, 6, 6, 4, 2, 3, 6, 6, 6, 6, 6, 1, 6, 5, 6, 2, 6, 6, 2, 6, 6, 6, 1, 6, 2, 6, 6, 6, 6, 6, 4, 6, 6, 2, 6, 6, 6, 6, 6, 6, 6, 2, 6, 2, 6, 6, 6, 3]
315	[1, 1, 6, 1, 1, 1, 2, 2, 2, 3, 6, 2, 1, 2, 3, 3, 6, 6, 1, 2, 1, 1, 1, 1, 6, 2, 6, 2, 1, 2, 1, 3, 6, 1, 1, 3, 2, 6, 1, 6, 2, 2, 2, 2, 1, 6, 1, 1, 2, 3, 1, 6, 2, 2, 2, 6, 2, 4, 6, 3, 2, 1, 6, 6, 6, 6, 1, 1, 1, 4, 2, 1, 1, 1, 1, 2, 1, 3, 3, 6, 4, 3, 6, 1, 1, 1, 2, 6, 3, 2, 1, 1, 1, 1, 3, 2, 1, 2, 2, 1]
316	[3, 3, 2, 6, 6, 6, 3, 2, 2, 6, 6, 1, 6, 6, 1, 1, 6, 6, 6, 3, 4, 2, 2, 2, 6, 1, 2, 2, 2, 6, 6, 2, 2, 3, 4, 5, 2, 5, 5, 6, 6, 2, 2, 6, 6, 2, 2, 6, 6, 2, 2, 2, 2, 2, 6, 1, 2, 6, 2, 1, 6, 2, 6, 6, 6, 1, 5, 2, 6, 2, 6, 6, 6, 2, 2, 2, 6, 2, 2, 2, 2, 6, 2, 2, 2, 2, 6, 6, 2, 6, 6, 1, 2, 2, 3, 6, 4, 6, 2, 6]
317	[6, 5, 5, 5, 5, 6, 5, 6, 6, 6, 2, 2, 2, 2, 6, 6, 6, 6, 6, 6, 2, 2, 5, 3, 2, 2, 6, 2, 3, 2, 6, 6, 6, 6, 1, 2, 3, 2, 2, 6, 6, 2, 2, 6, 6, 6, 6, 6, 2, 6, 2, 2, 6, 6, 2, 6, 6, 6, 2, 6, 6, 6, 5, 3, 2, 6, 6, 5, 3, 6, 6, 3, 5, 2, 6, 3, 6, 5, 2, 2, 6, 1, 2, 6, 1, 2, 2, 3, 6, 1, 6, 1, 2, 3, 2, 2, 2, 6, 5, 6]
318	[2, 6, 1, 6, 3, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 6, 1, 2, 2, 1, 5, 3, 6, 2, 2, 2, 6, 2, 6, 6, 6, 1, 2, 2, 2, 2, 2, 6, 2, 5, 6, 6, 4, 1, 2, 2, 4, 2, 2, 6, 1, 1, 2, 6, 2, 5, 6, 2, 2, 6, 3, 2, 1, 6, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 3, 1, 1, 3, 6, 2, 2, 6, 2, 2, 6, 1, 3, 1, 2, 6, 1, 1, 2, 1, 6, 2, 1, 6, 3]
319	[6, 1, 2, 6, 4, 3, 2, 2, 3, 3, 2, 2, 4, 2, 6, 6, 6, 2, 2, 3, 2, 1, 1, 2, 3, 2, 2, 2, 5, 2, 6, 2, 2, 1, 2, 2, 2, 2, 3, 6, 2, 2, 2, 3, 2, 2, 2, 6, 1, 1, 3, 6, 2, 6, 2, 1, 1, 6, 3, 6, 6, 2, 2, 2, 1, 4, 2, 6, 3, 3, 3, 2, 2, 6, 3, 2, 3, 2, 2, 6, 6, 3, 6, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 1, 2, 3, 2, 6, 1, 2]
320	[1, 2, 2, 6, 6, 6, 6, 2, 1, 2, 2, 2, 6, 2, 2, 6, 2, 2, 1, 2, 1, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 3, 2, 2, 2, 2, 6, 2, 2, 1, 1, 6, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 6, 3, 2, 3, 2, 2, 3, 2, 6, 2, 2, 6, 2, 2, 2, 1, 2, 2, 6, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 3, 1, 2, 1, 2, 2, 6, 2, 3, 2, 2, 2, 2, 2, 2, 2]
321	[2, 1, 1, 5, 6, 6, 6, 6, 1, 1, 3, 6, 6, 2, 6, 2, 2, 5, 6, 6, 2, 1, 3, 3, 2, 1, 1, 2, 6, 6, 2, 3, 2, 6, 2, 2, 3, 3, 2, 5, 2, 2, 5, 1, 6, 1, 1, 2, 6, 2, 2, 2, 3, 1, 2, 2, 2, 2, 2, 1, 6, 4, 2, 1, 6, 2, 2, 3, 1, 2, 3, 5, 3, 5, 2, 2, 2, 2, 6, 1, 2, 2, 2, 2, 2, 2, 4, 5, 2, 1, 6, 6, 2, 6, 1, 1, 4, 1, 1, 1]
322	[2, 1, 2, 1, 2, 6, 6, 1, 6, 6, 1, 6, 6, 6, 6, 6, 2, 2, 3, 5, 2, 3, 1, 2, 2, 6, 2, 6, 1, 3, 2, 2, 6, 2, 2, 2, 2, 2, 3, 2, 6, 1, 2, 6, 3, 1, 6, 6, 1, 2, 6, 2, 6, 1, 1, 1, 1, 3, 2, 6, 4, 2, 6, 2, 3, 1, 1, 3, 3, 1, 1, 3, 3, 1, 2, 6, 2, 6, 2, 2, 2, 1, 2, 1, 2, 6, 2, 1, 2, 3, 2, 4, 1, 1, 1, 1, 1, 1, 1, 3]
323	[6, 6, 6, 6, 2, 6, 6, 6, 6, 2, 6, 2, 1, 6, 2, 6, 1, 6, 1, 2, 4, 1, 3, 1, 6, 2, 2, 1, 1, 3, 6, 6, 1, 1, 1, 1, 3, 3, 1, 2, 6, 1, 1, 6, 3, 1, 2, 4, 1, 1, 1, 1, 1, 6, 1, 5, 6, 6, 3, 1, 2, 1, 6, 2, 3, 1, 2, 2, 2, 1, 1, 6, 3, 4, 1, 6, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 6, 2, 3, 3, 2, 1, 1, 3, 2, 2, 6, 6, 1, 1]
324	[1, 1, 1, 1, 3, 2, 1, 2, 1, 2, 1, 6, 2, 1, 3, 6, 1, 2, 2, 3, 1, 3, 1, 1, 2, 6, 6, 1, 6, 1, 1, 1, 6, 1, 6, 3, 2, 4, 2, 1, 1, 6, 6, 2, 6, 2, 1, 2, 2, 2, 1, 2, 1, 1, 2, 2, 3, 4, 2, 6, 4, 6, 1, 1, 6, 2, 2, 1, 3, 1, 3, 3, 6, 6, 6, 1, 2, 1, 1, 2, 1, 1, 2, 3, 2, 2, 2, 1, 1, 1, 6, 1, 1, 2, 2, 2, 1, 6, 6, 1]
325	[2, 3, 6, 1, 1, 1, 1, 3, 1, 3, 6, 6, 2, 6, 6, 6, 2, 3, 6, 3, 6, 4, 3, 2, 2, 2, 6, 4, 1, 1, 2, 6, 2, 5, 1, 6, 1, 2, 2, 2, 2, 2, 2, 6, 1, 1, 3, 1, 1, 4, 6, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 4, 1, 1, 2, 2, 4, 1, 1, 4, 1, 4, 1, 4, 2, 3, 2, 1, 2, 2, 4, 2, 1, 4, 1, 6, 6, 3, 2, 1, 3, 2, 2, 2, 5, 1, 1, 3, 6]
326	[3, 2, 2, 4, 2, 2, 2, 3, 6, 5, 1, 2, 6, 1, 1, 2, 2, 2, 6, 2, 2, 2, 2, 2, 6, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 4, 1, 2, 3, 2, 2, 1, 1, 2, 1, 1, 3, 3, 1, 2, 1, 2, 1, 6, 2, 1, 1, 1, 2, 2, 1, 3, 2, 2, 1, 6, 2, 2, 2, 1, 3, 3, 2, 2, 2, 6, 2, 2, 1, 2, 2, 1, 1, 1, 3, 6, 6, 2, 2, 6, 2, 1, 1, 2, 6, 3, 6]
327	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 2, 4, 2, 6, 2, 4, 3, 6, 6, 3, 1, 2, 5, 2, 6, 2, 2, 6, 6, 2, 6, 4, 3, 6, 6, 2, 1, 1, 1, 3, 2, 3, 2, 2, 2, 1, 6, 1, 6, 1, 6, 6, 2, 6, 6, 6, 6, 2, 1, 6, 4, 6, 6, 3, 3, 3, 2, 6, 2, 1, 3, 6, 4, 3, 2, 6, 2, 2, 3, 2, 4, 1, 2, 5, 6, 1, 3, 6, 2, 6, 5, 4, 6, 6, 6, 1, 3, 1, 6]
328	[2, 2, 2, 6, 4, 2, 1, 2, 2, 6, 3, 2, 1, 2, 1, 1, 6, 1, 1, 2, 5, 2, 2, 6, 2, 4, 1, 4, 2, 3, 2, 2, 6, 1, 3, 1, 1, 1, 2, 1, 3, 3, 2, 5, 1, 2, 2, 2, 2, 3, 1, 2, 2, 6, 3, 2, 1, 4, 6, 4, 6, 6, 3, 2, 1, 3, 2, 3, 1, 6, 6, 1, 1, 2, 6, 1, 2, 6, 2, 1, 2, 2, 2, 2, 1, 1, 2, 5, 2, 1, 2, 2, 2, 2, 6, 1, 2, 3, 2, 1]
329	[6, 2, 1, 5, 5, 6, 1, 3, 4, 2, 2, 3, 2, 6, 2, 6, 2, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 6, 6, 6, 2, 3, 6, 1, 2, 2, 6, 5, 6, 1, 4, 2, 6, 2, 3, 6, 3, 2, 1, 5, 3, 2, 6, 2, 2, 1, 2, 1, 2, 4, 1, 2, 2, 2, 2, 2, 3, 6, 1, 2, 1, 6, 2, 2, 2, 2, 2, 1, 4, 4, 6, 6, 2, 2, 2, 2, 2, 6, 6, 2, 6, 2, 6, 6, 6]
330	[6, 2, 6, 6, 5, 3, 2, 2, 2, 2, 6, 3, 3, 5, 3, 3, 4, 3, 2, 6, 2, 6, 2, 2, 2, 2, 1, 4, 2, 2, 1, 2, 3, 6, 6, 3, 2, 2, 5, 6, 1, 3, 1, 1, 1, 6, 1, 6, 6, 2, 6, 3, 1, 3, 2, 2, 2, 3, 6, 2, 2, 1, 6, 3, 6, 2, 6, 6, 4, 1, 4, 6, 6, 6, 4, 6, 3, 2, 6, 3, 6, 6, 2, 6, 2, 6, 1, 6, 3, 6, 1, 3, 1, 2, 6, 2, 5, 3, 1, 2]
331	[1, 1, 1, 1, 2, 3, 2, 1, 1, 2, 1, 6, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, 1, 6, 1, 6, 2, 1, 1, 2, 6, 1, 1, 6, 1, 1, 1, 2, 1, 1, 1, 1, 6, 2, 2, 2, 1, 3, 6, 3, 2, 1, 1, 5, 1, 6, 2, 6, 1, 4, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 6, 3, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2, 2, 1, 2, 1, 2, 2, 4, 2, 2, 1, 6, 6]
332	[1, 1, 1, 1, 1, 1, 3, 1, 2, 3, 1, 1, 1, 1, 1, 4, 3, 2, 3, 1, 2, 1, 6, 1, 5, 6, 2, 1, 1, 1, 2, 1, 1, 6, 2, 6, 1, 2, 1, 3, 2, 2, 2, 1, 2, 1, 2, 1, 1, 6, 2, 2, 4, 6, 3, 5, 6, 6, 3, 1, 6, 6, 1, 2, 1, 2, 6, 2, 2, 3, 1, 5, 1, 1, 2, 2, 1, 2, 2, 5, 2, 2, 3, 6, 2, 3, 1, 6, 1, 2, 1, 6, 6, 2, 6, 1, 6, 5, 2, 6]
333	[1, 6, 1, 2, 2, 3, 2, 6, 3, 2, 2, 1, 6, 1, 1, 1, 2, 1, 2, 6, 1, 2, 1, 1, 1, 2, 1, 6, 1, 2, 1, 2, 1, 2, 1, 1, 6, 2, 6, 2, 2, 2, 6, 1, 6, 1, 1, 2, 6, 4, 1, 2, 1, 3, 2, 5, 1, 1, 1, 6, 6, 1, 1, 1, 1, 2, 1, 3, 1, 4, 2, 2, 2, 1, 1, 4, 1, 1, 1, 1, 1, 2, 2, 3, 6, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 6, 1, 1, 6, 1]
334	[2, 1, 1, 1, 1, 6, 6, 2, 1, 2, 2, 6, 1, 2, 6, 1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 2, 2, 3, 3, 2, 4, 2, 2, 2, 1, 1, 1, 2, 1, 2, 4, 1, 2, 1, 1, 2, 1, 2, 1, 1, 2, 4, 1, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 1, 2, 1, 2, 1, 1, 3, 2, 2, 2, 2, 2, 6, 1, 6, 1, 1, 1, 2, 2, 3, 2, 6, 5, 3]
335	[6, 5, 3, 2, 5, 2, 6, 6, 3, 6, 1, 1, 2, 2, 6, 2, 6, 6, 1, 6, 4, 2, 2, 2, 4, 1, 6, 2, 2, 6, 2, 2, 4, 6, 2, 6, 2, 6, 4, 4, 1, 6, 2, 3, 4, 6, 2, 2, 3, 1, 3, 6, 3, 6, 2, 6, 2, 3, 2, 2, 1, 6, 2, 4, 2, 5, 6, 2, 5, 1, 1, 1, 1, 3, 2, 1, 2, 6, 4, 1, 1, 3, 5, 4, 2, 2, 4, 2, 2, 3, 3, 2, 2, 2, 3, 3, 2, 5, 4, 2]
336	[3, 6, 6, 6, 2, 6, 2, 6, 6, 6, 2, 2, 2, 2, 4, 4, 2, 2, 4, 3, 6, 2, 1, 1, 3, 6, 2, 3, 2, 6, 2, 2, 6, 2, 3, 2, 2, 6, 3, 4, 1, 2, 6, 6, 4, 6, 2, 5, 6, 6, 2, 5, 2, 6, 6, 2, 6, 6, 6, 1, 6, 6, 3, 6, 2, 3, 2, 4, 2, 2, 6, 1, 2, 5, 1, 3, 2, 3, 2, 6, 4, 2, 1, 6, 1, 5, 2, 2, 2, 2, 6, 2, 3, 2, 2, 1, 1, 1, 2, 6]
337	[1, 2, 5, 2, 1, 1, 2, 4, 6, 1, 2, 6, 2, 1, 6, 6, 1, 6, 1, 3, 6, 2, 3, 4, 1, 3, 4, 4, 2, 6, 2, 6, 2, 3, 6, 6, 6, 3, 1, 1, 6, 4, 2, 6, 2, 2, 2, 2, 4, 1, 2, 3, 1, 6, 6, 2, 3, 4, 1, 6, 4, 6, 2, 2, 3, 6, 1, 6, 6, 1, 1, 1, 1, 1, 6, 6, 6, 3, 4, 1, 1, 1, 6, 3, 3, 2, 1, 6, 4, 6, 2, 1, 1, 2, 3, 6, 1, 5, 6, 1]
338	[1, 2, 1, 1, 6, 1, 2, 6, 2, 2, 6, 6, 2, 2, 6, 2, 2, 6, 2, 5, 3, 6, 5, 3, 2, 1, 2, 1, 1, 2, 2, 1, 3, 1, 2, 3, 2, 1, 1, 2, 1, 6, 4, 3, 2, 2, 6, 6, 2, 2, 1, 2, 2, 3, 1, 2, 1, 2, 6, 1, 1, 2, 2, 1, 1, 2, 2, 1, 2, 1, 2, 2, 1, 6, 6, 2, 1, 1, 2, 2, 1, 6, 1, 1, 1, 1, 3, 1, 6, 1, 1, 3, 6, 1, 1, 1, 2, 4, 1, 1]
339	[1, 2, 6, 5, 3, 2, 2, 2, 6, 6, 6, 6, 1, 2, 2, 3, 5, 6, 6, 6, 2, 5, 3, 6, 2, 6, 6, 2, 6, 3, 1, 6, 5, 1, 5, 6, 6, 2, 6, 2, 5, 3, 5, 2, 2, 6, 3, 3, 2, 3, 1, 5, 6, 6, 2, 2, 6, 2, 1, 3, 2, 6, 6, 6, 2, 1, 3, 1, 2, 2, 3, 2, 2, 3, 6, 6, 4, 2, 1, 6, 2, 6, 4, 6, 3, 6, 3, 6, 3, 1, 6, 2, 6, 3, 6, 3, 6, 2, 1, 6]
340	[1, 1, 4, 6, 1, 2, 6, 1, 1, 2, 2, 2, 1, 1, 1, 6, 6, 2, 1, 6, 1, 1, 1, 3, 1, 1, 3, 1, 6, 1, 2, 1, 2, 6, 3, 2, 2, 6, 1, 6, 6, 6, 3, 1, 6, 2, 2, 6, 2, 3, 1, 1, 6, 1, 4, 1, 3, 6, 5, 4, 1, 5, 6, 6, 3, 1, 2, 1, 2, 3, 5, 5, 2, 1, 6, 1, 1, 1, 3, 1, 1, 3, 2, 2, 4, 1, 6, 1, 1, 1, 3, 1, 1, 3, 1, 5, 6, 6, 1, 6]
341	[2, 6, 2, 2, 2, 2, 6, 2, 5, 3, 5, 2, 6, 2, 2, 2, 6, 6, 6, 2, 5, 1, 1, 6, 6, 6, 2, 6, 6, 6, 6, 2, 2, 2, 6, 6, 5, 4, 1, 1, 2, 2, 5, 1, 2, 2, 2, 2, 2, 4, 2, 2, 1, 2, 6, 4, 1, 1, 1, 5, 6, 2, 2, 3, 1, 3, 3, 2, 2, 1, 3, 2, 1, 3, 2, 6, 1, 2, 1, 1, 2, 2, 2, 6, 6, 2, 2, 6, 3, 1, 5, 1, 1, 2, 1, 2, 6, 6, 6, 2]
342	[2, 2, 2, 6, 6, 2, 6, 2, 1, 6, 6, 2, 4, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 6, 4, 1, 1, 6, 2, 1, 2, 2, 6, 2, 4, 2, 2, 3, 2, 3, 2, 2, 1, 1, 1, 3, 1, 1, 2, 2, 4, 2, 1, 2, 1, 1, 6, 1, 2, 1, 3, 3, 1, 2, 1, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 6, 6, 1, 2, 3, 6, 2, 6, 1, 3, 2, 6, 6, 1, 1, 2, 2, 1, 3, 2, 3, 2]
